Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Wild Earth: Photo Safari,2/5/2006,Super X Studios,Super X Studios,Edutainment,Not Rated,5.2,5,PC,72,Based on 10 Critic Reviews
Fallout 4,10/11/2015,Bethesda Game Studios,Bethesda Softworks,Western RPG,Rated M For Mature,6.8,6405,"PlayStation 4, Xbox One, PC","87, 88, 84","Based on 59 Critic Reviews, Based on 40 Critic Reviews, Based on 40 Critic Reviews"
Atomik: RunGunJumpGun,8/2/2018,Gambitious,Gambitious,Horizontal Shoot-'Em-Up,Rated E For Everyone,7.9,7,"Nintendo Switch, PC, iOS (iPhone/iPad)","78, 82, tbd","Based on 8 Critic Reviews, Based on 6 Critic Reviews, Based on 2 Critic Reviews"
Blade Runner: Enhanced Edition,23/6/2022,Night Dive Studios,Night Dive Studios,Point-and-Click,Rated T For Teen,5.2,10,"PC, PlayStation 4, Xbox One, Nintendo Switch","54, tbd, tbd, 52","Based on 4 Critic Reviews, Based on 3 Critic Reviews, Based on 3 Critic Reviews, Based on 11 Critic Reviews"
One Piece: Romance Dawn,11/2/2014,Three Rings,Namco Bandai Games,RPG,Rated T For Teen,6.6,30,3DS,42,Based on 32 Critic Reviews
Duel Masters: Kaijudo Showdown,16/11/2004,Mistic Software,Atari SA,Board,Rated E For Everyone,6.894852313,,Game Boy Advance,66,Based on 10 Critic Reviews
Everhood,4/3/2021,Foreign Gnomes,Surefire.Games,RPG,Rated E +10 For Everyone +10,7.9,34,"PC, Nintendo Switch","83, 81","Based on 10 Critic Reviews, Based on 15 Critic Reviews"
Okinawa Rush,28/10/2021,Storybird,Pixelheart,2D Beat-'Em-Up,Rated T For Teen,8.1,8,"Nintendo Switch, PlayStation 4, Xbox One, PC","81, 80, tbd, tbd","Based on 9 Critic Reviews, Based on 4 Critic Reviews, Based on 3 Critic Reviews, Based on 2 Critic Reviews"
The X-Files: Resist or Serve,16/3/2004,Black Ops Entertainment,Sierra Entertainment,Survival,Rated M For Mature,7.5,18,PlayStation 2,67,Based on 31 Critic Reviews
Eurofighter Typhoon,30/7/2001,Rage Software,Take-Two Interactive,Aircraft Combat Sim,Rated E For Everyone,5.4,14,PC,69,Based on 10 Critic Reviews
Bakugan Battle Brawlers,20/10/2009,Now Production,Activision,Action,Rated E For Everyone,6.8,15,"PlayStation 3, Xbox 360, Wii, DS","63, 60, 62, 60","Based on 10 Critic Reviews, Based on 16 Critic Reviews, Based on 12 Critic Reviews, Based on 6 Critic Reviews"
The Battle of Polytopia,12/10/2022,Midjiwan,Midjiwan,4X Strategy,Rated E +10 For Everyone +10,6.894852313,,"iOS (iPhone/iPad), PC, Nintendo Switch","tbd, 72, 72","Based on 3 Critic Reviews, Based on 5 Critic Reviews, Based on 7 Critic Reviews"
Rugby 2005,8/3/2005,HB Studios Multimedia,EA Sports,Rugby,Rated E For Everyone,6.894852313,,"PlayStation 2, Xbox","71, 75","Based on 15 Critic Reviews, Based on 20 Critic Reviews"
Lost Sphear,23/1/2018,Tokyo RPG Factory,Square Enix,JRPG,Rated E +10 For Everyone +10,6.7,71,"Nintendo Switch, PlayStation 4, PC","69, 68, 69","Based on 17 Critic Reviews, Based on 54 Critic Reviews, Based on 10 Critic Reviews"
Chained Echoes,8/12/2022,Matthias Linda,DECK13 Spotlight,JRPG,Rated M For Mature,8.7,128,"PC, PlayStation 4, Nintendo Switch, Xbox Series X, Xbox One","91, 87, 90, 88, tbd","Based on 14 Critic Reviews, Based on 7 Critic Reviews, Based on 15 Critic Reviews, Based on 5 Critic Reviews, Based on 1 Critic Review"
Dusk Diver 2,30/8/2022,Wanin International,Idea Factory,3D Beat-'Em-Up,Rated T For Teen,6.894852313,,"Nintendo Switch, PC, PlayStation 4, PlayStation 5","60, tbd, 68, 60","Based on 9 Critic Reviews, Based on 1 Critic Review, Based on 5 Critic Reviews, Based on 10 Critic Reviews"
Football Manager 2014,30/10/2013,Sports Interactive,Sega,Soccer Management,Rated E For Everyone,5.7,301,PC,85,Based on 41 Critic Reviews
Dreamscaper,5/8/2021,Afterburner Studios,Afterburner Studios,Action RPG,Rated E +10 For Everyone +10,6.7,15,"PC, Nintendo Switch, Xbox One, Xbox Series X","80, 82, tbd, tbd","Based on 14 Critic Reviews, Based on 12 Critic Reviews, Based on 1 Critic Review, Based on 2 Critic Reviews"
No More Heroes 2: Desperate Struggle,26/1/2010,Grasshopper Manufacture,Ubisoft,3D Beat-'Em-Up,Rated M For Mature,8.5,163,"Wii, Nintendo Switch, PC","84, 82, tbd","Based on 68 Critic Reviews, Based on 21 Critic Reviews, Based on 3 Critic Reviews"
Yatagarasu,15/8/2009,PDW: Hotapen,PDW: Hotapen,2D Fighting,Not Rated,5,,PC,73,Based on 10 Critic Reviews
Power Drome,16/6/2004,Argonaut Games,Mud Duck Productions,Future Racing,Rated T For Teen,6.894852313,,"PlayStation 2, Xbox","54, 69","Based on 4 Critic Reviews, Based on 12 Critic Reviews"
Tales From The Borderlands: Episode 1 - Zer0 Sum,25/11/2014,Telltale Games,Telltale Games,Adventure,Rated M For Mature,8.1,401,"PC, PlayStation 4, Xbox One, Xbox 360, PlayStation 3, iOS (iPhone/iPad)","84, 80, 82, tbd, tbd, 90","Based on 43 Critic Reviews, Based on 15 Critic Reviews, Based on 8 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review, Based on 6 Critic Reviews"
Metroid Prime,17/11/2002,Retro Studios,Nintendo,FPS,Rated T For Teen,8.9,1441,GameCube,97,Based on 70 Critic Reviews
Far Cry 4: Escape from Durgesh Prison,13/1/2015,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,6.2,29,"Xbox One, PlayStation 4","tbd, 56","Based on 1 Critic Review, Based on 8 Critic Reviews"
The Callisto Protocol,2/12/2022,Striking Distance Studios,KRAFTON Inc.,Survival,Rated M For Mature,6.9,1502,"PC, PlayStation 5, Xbox Series X","68, 69, 70","Based on 20 Critic Reviews, Based on 94 Critic Reviews, Based on 33 Critic Reviews"
Crackdown 3,15/2/2019,Sumo Digital,Microsoft Game Studios,Open-World Action,Rated M For Mature,4.3,1047,"Xbox One, PC","60, 54","Based on 92 Critic Reviews, Based on 19 Critic Reviews"
Sherlock Holmes vs. Jack the Ripper,26/5/2009,Frogwares,Focus Home Interactive,Adventure,Rated T For Teen,7.4,64,"Xbox 360, PC","62, 73","Based on 24 Critic Reviews, Based on 26 Critic Reviews"
Dokapon Kingdom: Connect,9/5/2023,Sting,Idea Factory,Party,Rated E +10 For Everyone +10,4,8,"Nintendo Switch, PC","63, tbd","Based on 11 Critic Reviews, Based on 1 Critic Review"
Call of Juarez: The Cartel,19/7/2011,Techland,Ubisoft,FPS,Rated M For Mature,5.7,120,"PC, PlayStation 3, Xbox 360","51, 45, 47","Based on 12 Critic Reviews, Based on 42 Critic Reviews, Based on 62 Critic Reviews"
Loopmancer,13/7/2022,eBrain Studio,eBrain Studio,2D Platformer,Not Rated,7.4,8,PC,74,Based on 11 Critic Reviews
Thronebreaker: The Witcher Tales,9/11/2018,CD Projekt Red Studio,CD Projekt Red Studio,Card Battle,Not Rated,8.1,710,"iOS (iPhone/iPad), PC, Xbox One, PlayStation 4, Nintendo Switch","80, 85, 85, 80, 84","Based on 6 Critic Reviews, Based on 55 Critic Reviews, Based on 7 Critic Reviews, Based on 8 Critic Reviews, Based on 17 Critic Reviews"
Manual Samuel,14/10/2016,Perfectly Paranormal,Perfectly Paranormal,Adventure,Rated T For Teen,6.6,16,"PlayStation 4, PC, Xbox One, Nintendo Switch","52, tbd, 66, 68","Based on 6 Critic Reviews, Based on 2 Critic Reviews, Based on 9 Critic Reviews, Based on 9 Critic Reviews"
Swords & Soldiers,8/6/2009,Ronimo Games,Ronimo Games,Strategy,Rated E +10 For Everyone +10,6.8,6,"PlayStation 3, iOS (iPhone/iPad), Wii, Nintendo Switch, 3DS, PC, Wii U","81, 81, 84, 72, tbd, tbd, 78","Based on 13 Critic Reviews, Based on 11 Critic Reviews, Based on 26 Critic Reviews, Based on 5 Critic Reviews, Based on 3 Critic Reviews, Based on 1 Critic Review, Based on 11 Critic Reviews"
CSI: Crime Scene Investigation: Fatal Conspiracy,26/10/2010,Telltale Games,Ubisoft,Adventure,Rated M For Mature,4.8,,"Xbox 360, PlayStation 3, PC","42, 39, 47","Based on 9 Critic Reviews, Based on 5 Critic Reviews, Based on 5 Critic Reviews"
Strata,12/9/2013,Graveck,Graveck,Puzzle,Not Rated,5.4,5,iOS (iPhone/iPad),85,Based on 8 Critic Reviews
Katana ZERO,17/4/2019,Askiisoft,Devolver Digital,2D Platformer,Rated M For Mature,8.5,306,"PC, PlayStation 4, Nintendo Switch, Xbox One","83, tbd, 83, tbd","Based on 28 Critic Reviews, Based on 1 Critic Review, Based on 39 Critic Reviews, Based on 1 Critic Review"
World War II: Panzer Claws,12/11/2002,In Images,Eidos Interactive,Real-Time Tactics,Rated T For Teen,6,10,PC,61,Based on 8 Critic Reviews
Catlateral Damage,22/3/2016,Manekoware,Fire Hose Games,3D Platformer,Rated E For Everyone,5.1,16,"PC, PlayStation 4","tbd, 57","Based on 3 Critic Reviews, Based on 10 Critic Reviews"
One Piece: Grand Battle,7/9/2005,Ganbarion,Bandai,3D Fighting,Rated T For Teen,7.4,11,"GameCube, PlayStation 2","67, 69","Based on 14 Critic Reviews, Based on 16 Critic Reviews"
Harvest Moon: The Tale of Two Towns,1/11/2011,Marvelous Entertainment,Natsume,Tycoon,Rated E For Everyone,6.3,36,"3DS, DS","63, 68","Based on 14 Critic Reviews, Based on 6 Critic Reviews"
Winter's Wish: Spirits of Edo,18/5/2023,Otomate,Aksys Games,Visual Novel,Rated T For Teen,6.894852313,,Nintendo Switch,76,Based on 7 Critic Reviews
Drawn to Life,10/9/2007,5TH Cell,THQ,Sandbox,Rated E For Everyone,7.4,38,"DS, iOS (iPhone/iPad)","73, 53","Based on 34 Critic Reviews, Based on 4 Critic Reviews"
You Don't Know Jack: 5th Dementia,30/10/2000,Jellyvision,Sierra Entertainment,Trivia,Rated T For Teen,6.894852313,,PC,77,Based on 8 Critic Reviews
Clea 2,25/3/2021,Sekai Games,Sekai Project,Survival,Rated T For Teen,6.894852313,,"PC, Nintendo Switch","tbd, 71","Based on 1 Critic Review, Based on 9 Critic Reviews"
Disney's Magical Mirror Starring Mickey Mouse,13/8/2002,Capcom,Nintendo,Point-and-Click,Rated E For Everyone,7.3,12,GameCube,50,Based on 9 Critic Reviews
Hand of Fate,,,,Board,Not Rated,6.894852313,,"PC, PlayStation 4, Xbox One","78, 79, 80","Based on 28 Critic Reviews, Based on 15 Critic Reviews, Based on 11 Critic Reviews"
Lost in Random,10/9/2021,Zoink,Electronic Arts,Action Adventure,Rated E +10 For Everyone +10,7.6,72,"PC, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X","78, 80, tbd, 78, 78, 74","Based on 21 Critic Reviews, Based on 9 Critic Reviews, Based on 1 Critic Review, Based on 7 Critic Reviews, Based on 32 Critic Reviews, Based on 7 Critic Reviews"
FlatOut 2,1/8/2006,Bugbear,Empire Interactive,Auto Racing,Rated T For Teen,8.5,53,"PlayStation 2, Xbox, PC","73, 73, 76","Based on 44 Critic Reviews, Based on 38 Critic Reviews, Based on 24 Critic Reviews"
PDC World Championship Darts 2009,16/6/2009,Rebellion,O-Games,Individual Sports,Rated E For Everyone,6.894852313,,DS,45,Based on 9 Critic Reviews
Dreamkiller,12/10/2009,Mindware Studios,Aspyr,FPS,Rated M For Mature,5.5,20,PC,47,Based on 9 Critic Reviews
Dragon Quest IX: Sentinels of the Starry Skies,11/7/2010,Level 5,Nintendo,JRPG,Rated E +10 For Everyone +10,8.5,252,DS,87,Based on 65 Critic Reviews
Patrician II: Quest for Power,8/10/2001,Ascaron Entertainment,Strategy First,Real-Time Strategy,Rated E For Everyone,5.7,9,PC,76,Based on 12 Critic Reviews
Crazy Taxi 3: High Roller,24/7/2002,Hitmaker,Sega,Auto Racing,Rated T For Teen,8.2,10,Xbox,69,Based on 33 Critic Reviews
Blightbound,27/7/2021,Ronimo Games,Devolver Digital,Action RPG,Not Rated,4.3,6,"PC, PlayStation 4, Xbox One","59, 61, 66","Based on 11 Critic Reviews, Based on 5 Critic Reviews, Based on 6 Critic Reviews"
Star Wars: Obi-Wan,19/12/2001,LucasArts,LucasArts,Action Adventure,Rated T For Teen,5.5,18,Xbox,58,Based on 28 Critic Reviews
Napoleon: Total War,23/2/2010,Creative Assembly,Sega,Real-Time Strategy,Rated T For Teen,7.9,400,PC,81,Based on 56 Critic Reviews
E.Y.E: Divine Cybermancy,29/7/2011,Streum On Studio,Streum On Studio,Western RPG,Rated RP For Rate Pending,6.9,188,PC,61,Based on 22 Critic Reviews
Monster Tale,16/3/2011,DreamRift,Majesco,Metroidvania,Rated E For Everyone,7.9,27,DS,79,Based on 15 Critic Reviews
Magicka,25/1/2011,Arrowhead Game Studios,Paradox Interactive,Linear Action Adventure,Rated T For Teen,7.6,681,PC,74,Based on 44 Critic Reviews
Out of the Park Baseball 13,9/4/2012,Out Of The Park Developments,Out Of The Park Developments,Baseball Sim,Not Rated,7.8,88,PC,85,Based on 8 Critic Reviews
Date Night Bowling,26/11/2021,Serenity Forge,Way Down Deep,Bowling,Rated E For Everyone,6.894852313,,"PC, Nintendo Switch","tbd, 56","Based on 2 Critic Reviews, Based on 8 Critic Reviews"
Risk: Global Domination (2003),5/11/2003,Cyberlore Studios,Atari SA,Board,Rated T For Teen,3.5,6,PlayStation 2,60,Based on 9 Critic Reviews
