Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Gunslugs,18/2/2014,Abstraction Games,Abstraction Games,2D Platformer,Rated T For Teen,6.9,23,"iOS (iPhone/iPad), PlayStation Vita, 3DS, Nintendo Switch","tbd, 81, tbd, tbd","Based on 3 Critic Reviews, Based on 8 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review"
Hamtaro: Ham-Ham Games,27/7/2004,Alphadream Corporation,Nintendo,Athletics,Rated E For Everyone,7.5,6,Game Boy Advance,77,Based on 20 Critic Reviews
Gangland,4/3/2004,MediaMobsters,Whiptail Interactive,Real-Time Strategy,Rated M For Mature,7.8,10,PC,63,Based on 40 Critic Reviews
NCAA Football 10,14/7/2009,EA Tiburon,Electronic Arts,Football Sim,Rated E For Everyone,8,5,"PlayStation 3, Xbox 360, PlayStation 2, PSP","80, 83, tbd, tbd","Based on 20 Critic Reviews, Based on 26 Critic Reviews, Based on 2 Critic Reviews, Based on 2 Critic Reviews"
Spirit (2010),11/2/2010,Marco Mazzoli,Marco Mazzoli,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),80,Based on 7 Critic Reviews
Shadowmatic,14/1/2015,TRIADA Studio,TRIADA Studio,Puzzle,Not Rated,7.4,9,iOS (iPhone/iPad),80,Based on 7 Critic Reviews
Novadrome,20/12/2006,Stainless Games,Buena Vista Games,Vehicle Combat Sim,Rated E +10 For Everyone +10,6.894852313,,Xbox 360,50,Based on 10 Critic Reviews
MS Saga: A New Dawn,21/2/2006,Bec,Bandai,JRPG,Rated E +10 For Everyone +10,7.4,12,PlayStation 2,65,Based on 27 Critic Reviews
My Hero One's Justice,26/10/2018,Bandai Namco Games,Bandai Namco Games,3D Fighting,Rated T For Teen,6.5,59,"PC, Nintendo Switch, Xbox One, PlayStation 4","tbd, 70, 71, 68","Based on 3 Critic Reviews, Based on 14 Critic Reviews, Based on 6 Critic Reviews, Based on 35 Critic Reviews"
Europa Universalis II,12/11/2001,Paradox Development Studio,Strategy First,Real-Time Strategy,Rated E For Everyone,8.3,75,PC,87,Based on 11 Critic Reviews
The Simpsons Skateboarding,12/11/2002,The Code Monkeys,Electronic Arts,Skating,Rated T For Teen,3.7,18,PlayStation 2,38,Based on 21 Critic Reviews
Scanner Sombre,26/4/2017,Introversion,Introversion,Linear Action Adventure,Not Rated,6.8,29,PC,67,Based on 15 Critic Reviews
EverQuest: The Scars of Velious,4/12/2000,Sony Online Entertainment,Sony Online Entertainment,MMORPG,Rated T For Teen,6.2,9,PC,82,Based on 9 Critic Reviews
Arcania: The Complete Tale,30/8/2013,Spellbound,Nordic Games Publishing,Action RPG,Rated T For Teen,4.6,22,"PlayStation 3, PlayStation 4","42, 42","Based on 15 Critic Reviews, Based on 5 Critic Reviews"
Divide By Sheep,2/7/2015,"Victor Solodilov, Denis Novikov",tinyBuild,Logic Puzzle,Not Rated,6.4,5,"PC, iOS (iPhone/iPad)","83, 81","Based on 4 Critic Reviews, Based on 7 Critic Reviews"
Here Be Dragons,30/1/2020,Red Zero Games,Red Zero Games,Turn-Based Tactics,Not Rated,8.1,7,"PC, Nintendo Switch","69, 68","Based on 7 Critic Reviews, Based on 4 Critic Reviews"
RalliSport Challenge,4/3/2002,Digital Illusions,Microsoft Game Studios,Auto Racing Sim,Rated E For Everyone,7,9,"Xbox, PC","87, 77","Based on 32 Critic Reviews, Based on 14 Critic Reviews"
Minigore 2: Zombies,6/12/2012,Mountain Sheep,Mountain Sheep,Top-Down Shoot-'Em-Up,Not Rated,7.1,9,iOS (iPhone/iPad),85,Based on 11 Critic Reviews
Age of Empires III: The Asian Dynasties,23/10/2007,Big Huge Games,Microsoft Game Studios,Command RTS,Rated T For Teen,8.4,94,PC,81,Based on 19 Critic Reviews
KUNAI,6/2/2020,TurtleBlaze,The Arcade Crew,2D Platformer,Rated E +10 For Everyone +10,8.2,58,"PC, Nintendo Switch","78, 73","Based on 18 Critic Reviews, Based on 33 Critic Reviews"
Monster Mayhem,5/5/2010,Chillingo,Chillingo,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),82,Based on 10 Critic Reviews
Fritz 9: Play Chess,15/12/2005,ChessBase,Viva Media,Board,Rated E For Everyone,6.3,,PC,73,Based on 12 Critic Reviews
Dead Rising 3: Apocalypse Edition,5/9/2014,Capcom Vancouver,Capcom,Open-World Action,Rated M For Mature,5.6,380,PC,70,Based on 44 Critic Reviews
Fallen Legion: Revenants,16/2/2021,YummyYummyTummy,NIS America,JRPG,Rated T For Teen,6.894852313,,"Nintendo Switch, PlayStation 4, Xbox One","tbd, 54, tbd","Based on 2 Critic Reviews, Based on 11 Critic Reviews, Based on 3 Critic Reviews"
KumaWar,16/7/2004,Kuma Reality Games,Kuma Reality Games,Tactical FPS,Rated M For Mature,6,,PC,50,Based on 15 Critic Reviews
David Beckham Soccer,7/10/2002,Yoyo Entertainment,Majesco,Soccer Sim,Rated E For Everyone,6.894852313,,"PlayStation, Game Boy Advance","65, 34","Based on 6 Critic Reviews, Based on 8 Critic Reviews"
Final Fantasy VII Remake Intergrade,10/6/2021,Square Enix,Square Enix,Action RPG,Rated T For Teen,8.4,1321,"PlayStation 5, PC","89, 86","Based on 56 Critic Reviews, Based on 26 Critic Reviews"
Gravity Ghost,26/1/2015,Ivy Games LLC,Ivy Games LLC,Action,Not Rated,7.2,22,"PC, PlayStation 4","75, 79","Based on 17 Critic Reviews, Based on 7 Critic Reviews"
Syphon Filter: Logan's Shadow,2/10/2007,Sony Bend,SCEA,Third Person Shooter,Rated T For Teen,8.7,84,"PSP, PlayStation 2","85, tbd","Based on 41 Critic Reviews, Based on 2 Critic Reviews"
Gunpey DS,17/11/2006,Q Entertainment,Namco Bandai Games,Puzzle,Rated E +10 For Everyone +10,4.5,,"PSP, DS","62, 70","Based on 24 Critic Reviews, Based on 24 Critic Reviews"
Bitlogic - A Cyberpunk Arcade Adventure,27/6/2019,OXiAB Game Studio,OXiAB Game Studio,2D Platformer,Rated E For Everyone,6.894852313,,Nintendo Switch,54,Based on 8 Critic Reviews
Bean Dreams,3/12/2014,Kumobius,Kumobius,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),87,Based on 8 Critic Reviews
Wrath Unleashed,10/2/2004,Double Helix Games,LucasArts,Turn-Based Strategy,Rated T For Teen,7.8,,"PlayStation 2, Xbox","64, 69","Based on 25 Critic Reviews, Based on 32 Critic Reviews"
MX vs. ATV All Out: Anniversary Edition,26/2/2019,THQ Nordic,THQ Nordic,Auto Racing Sim,Rated E +10 For Everyone +10,6.894852313,,"PlayStation 4, Xbox One","69, 64","Based on 5 Critic Reviews, Based on 9 Critic Reviews"
"Sam & Max Episode 103: The Mole, the Mob and the Meatball",25/1/2007,Telltale Games,Telltale Games,Point-and-Click,Not Rated,7,13,PC,74,Based on 30 Critic Reviews
The Magic Obelisk,28/12/2009,Game Arts,Game Arts,Action Adventure,Rated E For Everyone,6.894852313,,Wii,78,Based on 9 Critic Reviews
RayStorm HD,5/5/2010,Taito Corporation,Taito Corporation,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,9,,"PlayStation 3, Xbox 360","tbd, 46","Based on 1 Critic Review, Based on 11 Critic Reviews"
Knytt Underground,19/12/2013,Nifflas Games,Ripstone,2D Platformer,Rated M For Mature,7.6,18,"PlayStation 3, PC, PlayStation Vita, Wii U","73, tbd, 79, 76","Based on 6 Critic Reviews, Based on 1 Critic Review, Based on 5 Critic Reviews, Based on 12 Critic Reviews"
SoulCalibur: Lost Swords,22/4/2014,Project Soul,Bandai Namco Games,3D Fighting,Rated T For Teen,2,92,PlayStation 3,38,Based on 9 Critic Reviews
Monster Energy Supercross - The Official Videogame 3,4/2/2020,Milestone S.r.l,Milestone S.r.l,Auto Racing,Rated E For Everyone,5.9,31,"Xbox One, PC, PlayStation 4, Nintendo Switch","74, 72, 70, 67","Based on 7 Critic Reviews, Based on 6 Critic Reviews, Based on 19 Critic Reviews, Based on 6 Critic Reviews"
Marvel Puzzle Quest,3/10/2013,Demiurge Studios,D3Publisher,Matching Puzzle,Not Rated,5.1,28,"iOS (iPhone/iPad), Xbox One","74, tbd","Based on 14 Critic Reviews, Based on 2 Critic Reviews"
Rune,7/11/2000,Human Head Studios,Gathering,Action Adventure,Rated M For Mature,7.4,74,"PC, PlayStation 2","76, 53","Based on 26 Critic Reviews, Based on 16 Critic Reviews"
Nobunaga's Ambition: Awakening,20/7/2023,Kou Shibusawa,Koei Tecmo Games,Turn-Based Strategy,Rated T For Teen,7.3,8,"PC, PlayStation 4, Nintendo Switch","71, 75, 69","Based on 5 Critic Reviews, Based on 7 Critic Reviews, Based on 7 Critic Reviews"
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,30/8/2010,Telltale Games,Telltale Games,Third-Person Adventure,Rated E +10 For Everyone +10,7.7,20,"PC, PlayStation 3","81, 80","Based on 21 Critic Reviews, Based on 6 Critic Reviews"
Eclipse: Edge of Light,14/1/2020,White Elk,White Elk,First-Person Adventure,Rated T For Teen,3.6,7,"PC, Nintendo Switch, PlayStation 4","tbd, 63, 57","Based on 2 Critic Reviews, Based on 4 Critic Reviews, Based on 8 Critic Reviews"
Ninja Gaiden Sigma 2,29/9/2009,Team Ninja,Tecmo,Action Adventure,Rated M For Mature,7.7,151,"PlayStation 3, PlayStation Vita","83, 66","Based on 52 Critic Reviews, Based on 38 Critic Reviews"
S.L.A.I.: Steel Lancer Arena International,21/9/2005,Genki,Konami,Vehicle Combat Sim,Rated T For Teen,8.2,9,PlayStation 2,66,Based on 16 Critic Reviews
FIFA 17,27/9/2016,EA Vancouver,EA Sports,Soccer Sim,Rated E For Everyone,5.5,342,"PlayStation 4, Xbox One, Xbox 360, PC","85, 84, tbd, 84","Based on 43 Critic Reviews, Based on 51 Critic Reviews, Based on 1 Critic Review, Based on 13 Critic Reviews"
Vertigo Rogue,6/4/2010,Brainphant,Brainphant,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),69,Based on 7 Critic Reviews
ZEN Pinball 2: Balls of Glory,20/10/2015,Zen Studios,Zen Studios,Pinball,Not Rated,6.2,5,PlayStation 4,78,Based on 9 Critic Reviews
Temple Run,4/8/2011,"Imangi Studios, LLC","Imangi Studios, LLC",Arcade,Not Rated,6.5,78,iOS (iPhone/iPad),80,Based on 10 Critic Reviews
Dragon Ball: Xenoverse 2,25/10/2016,Dimps Corporation,Bandai Namco Games,3D Fighting,Rated T For Teen,7.4,324,"PlayStation 4, Xbox One, PC, Nintendo Switch","72, 73, 78, 75","Based on 58 Critic Reviews, Based on 9 Critic Reviews, Based on 6 Critic Reviews, Based on 32 Critic Reviews"
Starwhal: Just the Tip,9/12/2015,Breakfall,Breakfall,2D Fighting,Rated E +10 For Everyone +10,6.894852313,,"PlayStation 4, Wii U, Xbox One, PC","78, 66, 69, tbd","Based on 6 Critic Reviews, Based on 6 Critic Reviews, Based on 7 Critic Reviews, Based on 3 Critic Reviews"
Deus Ex,23/6/2000,Ion Storm,Eidos Interactive,Action Adventure,Rated M For Mature,9.1,1353,"PC, PlayStation 2","90, 81","Based on 28 Critic Reviews, Based on 25 Critic Reviews"
Non Flying Soldiers,17/5/2012,Chillingo,Chillingo,Strategy,Not Rated,6.894852313,,iOS (iPhone/iPad),72,Based on 7 Critic Reviews
Scotland Yard (2012),17/5/2012,Ravensburger Digital GmbH,Ravensburger Digital GmbH,Board,Not Rated,6.894852313,,iOS (iPhone/iPad),69,Based on 7 Critic Reviews
Gallop Racer 2006,2/5/2006,Tecmo,Tecmo,Horse Racing,Rated E For Everyone,6.894852313,,PlayStation 2,69,Based on 15 Critic Reviews
Dominions II: The Ascension Wars,14/11/2003,Illwinter Design Group,Shrapnel Games,Turn-Based Strategy,Not Rated,4.4,5,PC,76,Based on 8 Critic Reviews
Big Bumpin',19/11/2006,Blitz Games,King Games,Arcade Racing,Rated E For Everyone,5.4,8,Xbox 360,63,Based on 16 Critic Reviews
Wind-up Knight 2,9/4/2014,Robot Invader,Robot Invader,3D Platformer,Not Rated,6.894852313,,"iOS (iPhone/iPad), Wii U, 3DS","79, tbd, tbd","Based on 7 Critic Reviews, Based on 3 Critic Reviews, Based on 2 Critic Reviews"
DanceMasters,4/11/2010,GCP1,Konami,Dancing,Rated E +10 For Everyone +10,6.1,7,Xbox 360,63,Based on 30 Critic Reviews
Puzzle Bobble Everybubble!,23/5/2023,Taito Corporation,ININ Games,Matching Puzzle,Rated E For Everyone,7.6,9,Nintendo Switch,79,Based on 24 Critic Reviews
Total War: Shogun 2 - Fall of the Samurai,22/3/2012,Creative Assembly,Sega,Turn-Based Strategy,Rated T For Teen,8.4,424,PC,86,Based on 45 Critic Reviews
A Normal Lost Phone,1/3/2018,Plug In Digital,Plug In Digital,Simulation,Rated M For Mature,7.1,15,"PC, iOS (iPhone/iPad), Nintendo Switch","71, 83, 73","Based on 9 Critic Reviews, Based on 10 Critic Reviews, Based on 10 Critic Reviews"
Gladiators of Rome,27/10/2002,Cat Daddy Games,Activision Value,Real-Time Strategy,Rated M For Mature,6.894852313,,PC,46,Based on 7 Critic Reviews
War World: Tactical Combat,1/10/2008,Third Wave Games,Ubisoft,Third Person Shooter,Rated T For Teen,6.894852313,,"Xbox 360, PC","45, 74","Based on 13 Critic Reviews, Based on 7 Critic Reviews"
9 Years of Shadows,27/3/2023,Halberd Studios,Freedom Games,Metroidvania,Not Rated,7.6,36,"PC, Nintendo Switch","74, 76","Based on 15 Critic Reviews, Based on 4 Critic Reviews"
Samorost 3,24/3/2016,Amanita Design,Amanita Design,Point-and-Click,Not Rated,7.9,142,"PC, iOS (iPhone/iPad)","80, tbd","Based on 30 Critic Reviews, Based on 2 Critic Reviews"
Jade Empire,12/4/2005,BioWare,Microsoft Game Studios,Action RPG,Rated M For Mature,8.3,94,"Xbox, PC, iOS (iPhone/iPad)","89, 81, 80","Based on 84 Critic Reviews, Based on 29 Critic Reviews, Based on 4 Critic Reviews"
Pokemon Channel,1/12/2003,Ambrella,Nintendo,First-Person Adventure,Rated E For Everyone,6.4,33,GameCube,55,Based on 21 Critic Reviews
DoDonPachi Resurrection,26/8/2010,Cave,Cave,Vertical Shoot-'Em-Up,Not Rated,8.2,6,"Xbox 360, iOS (iPhone/iPad), PC, Nintendo Switch","77, 89, tbd, 87","Based on 10 Critic Reviews, Based on 14 Critic Reviews, Based on 3 Critic Reviews, Based on 5 Critic Reviews"
Red Steel,19/11/2006,Ubisoft Paris,Ubisoft,FPS,Rated T For Teen,6.5,52,Wii,63,Based on 54 Critic Reviews
Stop Stress: A Day of Fury,7/12/2009,Abylight,Abylight,Action,Rated T For Teen,6.894852313,,Wii,45,Based on 12 Critic Reviews
Yu-Gi-Oh! Master Duel,19/1/2022,Konami,Konami,Card Battle,Rated T For Teen,6.1,106,"Nintendo Switch, PlayStation 5, Xbox Series X, PC","78, 80, tbd, 80","Based on 4 Critic Reviews, Based on 6 Critic Reviews, Based on 2 Critic Reviews, Based on 13 Critic Reviews"
Trenches II,15/12/2011,Electronic Arts,Electronic Arts,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),72,Based on 7 Critic Reviews
Fantastic Pets,12/4/2011,Blitz Games Studios,THQ,Virtual Pet,Rated E For Everyone,7.5,,Xbox 360,66,Based on 11 Critic Reviews
Rune Factory Frontier,17/3/2009,Neverland,XSEED Games,RPG,Rated E +10 For Everyone +10,8.4,35,Wii,79,Based on 34 Critic Reviews
Puzzle Quest: The Legend Returns,19/9/2019,Infinity Plus 2,D3 Go!,Matching Puzzle,Rated E +10 For Everyone +10,7.2,24,Nintendo Switch,78,Based on 17 Critic Reviews
MechAssault: Phantom War,12/9/2006,Backbone Entertainment,Majesco,Vehicle Combat Sim,Rated T For Teen,6,,DS,66,Based on 16 Critic Reviews
UnMetal,28/9/2021,@unepic_fran,@unepic_fran,Action Adventure,Not Rated,8.3,33,"PC, Nintendo Switch, PlayStation 4, Xbox One","82, 77, tbd, 87","Based on 7 Critic Reviews, Based on 5 Critic Reviews, Based on 3 Critic Reviews, Based on 5 Critic Reviews"
The Walking Dead: The Telltale Series - A New Frontier,20/12/2016,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,6.7,326,"PlayStation 4, Xbox One, PC, iOS (iPhone/iPad)","73, tbd, 69, tbd","Based on 6 Critic Reviews, Based on 3 Critic Reviews, Based on 19 Critic Reviews, Based on 2 Critic Reviews"
Earth & Beyond,2/9/2002,Westwood Studios,Electronic Arts,MMORPG,Rated T For Teen,6,5,PC,82,Based on 24 Critic Reviews
Cradle of Rome,26/11/2008,Cerasus Media,D3Publisher,Matching Puzzle,Rated E For Everyone,6.894852313,,"DS, Wii","63, tbd","Based on 20 Critic Reviews, Based on 2 Critic Reviews"
The Walking Dead: Saints & Sinners,23/1/2020,Skydance Interactive,Skydance Interactive,Survival,Rated M For Mature,8.4,139,"PC, PlayStation 4","81, 79","Based on 28 Critic Reviews, Based on 15 Critic Reviews"
Sacred 2: Fallen Angel,11/5/2009,Ascaron Entertainment,cdv Software,Action RPG,Rated M For Mature,6.9,40,"PC, Xbox 360, PlayStation 3","71, 71, 70","Based on 41 Critic Reviews, Based on 56 Critic Reviews, Based on 45 Critic Reviews"
ZooCube,5/5/2002,PuzzleKings,Acclaim,Puzzle,Rated E For Everyone,6.894852313,,"Game Boy Advance, GameCube","71, 67","Based on 11 Critic Reviews, Based on 15 Critic Reviews"
"Borderlands 3: Guns, Love, and Tentacles",26/3/2020,Gearbox Software,2K Games,FPS,Rated M For Mature,5.8,37,"PlayStation 4, PC, Xbox One","tbd, 72, tbd","Based on 2 Critic Reviews, Based on 8 Critic Reviews, Based on 2 Critic Reviews"
Dead Space (2011),25/1/2011,Iron Monkey,Electronic Arts,Third Person Shooter,Not Rated,7.6,67,iOS (iPhone/iPad),88,Based on 22 Critic Reviews
PaRappa the Rapper 2,23/1/2002,NanaOn-Sha,SCEA,Rhythm,Rated E For Everyone,7.9,51,PlayStation 2,67,Based on 26 Critic Reviews
Jet X2O,28/10/2002,Killer Game,SCEA,Arcade Racing,Rated E For Everyone,6,,PlayStation 2,66,Based on 26 Critic Reviews
Medal of Honor: Rising Sun,11/11/2003,EA LA,EA Games,FPS,Rated T For Teen,7.4,79,"PlayStation 2, Xbox, GameCube","68, 65, 68","Based on 30 Critic Reviews, Based on 23 Critic Reviews, Based on 24 Critic Reviews"
Don King Boxing,31/3/2009,2K Shanghai,2K Sports,Combat Sport,Rated T For Teen,6.894852313,,"DS, Wii","71, 55","Based on 4 Critic Reviews, Based on 17 Critic Reviews"
1-2-Switch,3/3/2017,Nintendo,Nintendo,Party,Rated E +10 For Everyone +10,4.9,476,Nintendo Switch,58,Based on 65 Critic Reviews
Forza Horizon 2: Storm Island,16/12/2014,Playground Games,Microsoft Game Studios,Auto Racing Sim,Rated E +10 For Everyone +10,7.6,100,Xbox One,82,Based on 19 Critic Reviews
Ar tonelico: Melody of Elemia,6/2/2007,Gust,NIS America,JRPG,Rated T For Teen,8.2,53,PlayStation 2,71,Based on 30 Critic Reviews
Pacific Storm,2/10/2006,Lesta Studio,cdv Software,Real-Time Strategy,Rated T For Teen,6.1,7,PC,67,Based on 10 Critic Reviews
Pokemon Shield,15/11/2019,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,4.7,3535,Nintendo Switch,80,Based on 96 Critic Reviews
NFL Blitz 2000,31/7/1999,Midway,Midway,Football,Rated E For Everyone,7.4,17,Nintendo 64,85,Based on 14 Critic Reviews
PixelJunk Shooter Ultimate,3/6/2014,Double Eleven,Double Eleven,Vertical Shoot-'Em-Up,Rated E For Everyone,7.2,159,"PlayStation 4, PlayStation Vita, PC","82, 87, tbd","Based on 8 Critic Reviews, Based on 4 Critic Reviews, Based on 1 Critic Review"
Deus Ex GO,18/8/2016,Square Enix Montreal,Square Enix,Turn-Based Strategy,Not Rated,6.4,37,iOS (iPhone/iPad),81,Based on 34 Critic Reviews
Satellite Reign,27/8/2015,5 Lives Studios,5 Lives Studios,Real-Time Strategy,Not Rated,7.8,141,PC,75,Based on 37 Critic Reviews
Halo: The Master Chief Collection,11/11/2014,343 Industries,Microsoft Game Studios,Compilation,Rated M For Mature,7.9,1992,"Xbox One, PC","85, tbd","Based on 69 Critic Reviews, Based on 1 Critic Review"
Tom Clancy's Ghost Recon 2: Summit Strike,2/8/2005,Red Storm Entertainment,Ubisoft,Tactical FPS,Rated T For Teen,6.894852313,,Xbox,84,Based on 40 Critic Reviews
Tom Clancy's Rainbow Six: Rogue Spear,20/11/2000,Pipe Dream Interactive,Red Storm Entertainment,Tactical FPS,Rated T For Teen,6.894852313,,Dreamcast,75,Based on 9 Critic Reviews
Fara,21/10/2011,Pixel and Texel,Pixel and Texel,RPG,Not Rated,6.894852313,,iOS (iPhone/iPad),67,Based on 8 Critic Reviews
Transport Fever 2,11/12/2019,Urban Games,Good Shepherd Entertainment,Tycoon,Not Rated,7.7,75,"PC, Xbox Series X, PlayStation 5","76, tbd, 80","Based on 16 Critic Reviews, Based on 4 Critic Reviews, Based on 4 Critic Reviews"
"Warhammer 40,000: Squad Command",12/11/2007,RedLynx,THQ,Turn-Based Tactics,Rated T For Teen,8.1,25,"PSP, DS","67, 57","Based on 25 Critic Reviews, Based on 21 Critic Reviews"
Tesla vs Lovecraft,16/3/2018,10tons,10tons,Top-Down Shoot-'Em-Up,Rated T For Teen,7.3,10,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS (iPhone/iPad), PlayStation 5","73, 75, 71, 74, tbd, tbd","Based on 12 Critic Reviews, Based on 14 Critic Reviews, Based on 8 Critic Reviews, Based on 10 Critic Reviews, Based on 3 Critic Reviews, Based on 1 Critic Review"
Growlanser: Heritage of War,18/9/2007,Career Soft,Atlus,Turn-Based Tactics,Rated T For Teen,8.5,41,PlayStation 2,60,Based on 7 Critic Reviews
1942: First Strike,1/7/2010,Capcom,Capcom,Vertical Shoot-'Em-Up,Not Rated,6.894852313,,iOS (iPhone/iPad),53,Based on 7 Critic Reviews
Uncharted 4: A Thief's End,10/5/2016,Naughty Dog,Sony Interactive Entertainment,Linear Action Adventure,Rated T For Teen,8.8,17412,PlayStation 4,93,Based on 119 Critic Reviews
The Dark Pictures Anthology: House of Ashes,22/10/2021,Supermassive Games,Bandai Namco Games,Survival,Rated M For Mature,7.8,229,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X","74, tbd, 73, 72, 74","Based on 12 Critic Reviews, Based on 1 Critic Review, Based on 22 Critic Reviews, Based on 61 Critic Reviews, Based on 12 Critic Reviews"
Unity of Command II,12/11/2019,2x2 Games,2x2 Games,4X Strategy,Not Rated,7.5,37,PC,88,Based on 13 Critic Reviews
Battleship (2012),15/5/2012,Double Helix Games,Activision,Tactical FPS,Rated T For Teen,1.9,66,"Xbox 360, PlayStation 3, 3DS, DS, Wii","38, 44, 55, tbd, 54","Based on 25 Critic Reviews, Based on 11 Critic Reviews, Based on 4 Critic Reviews, Based on 1 Critic Review, Based on 5 Critic Reviews"
Old World,1/7/2021,Mohawk Games,Mohawk Games,4X Strategy,Not Rated,7.3,78,PC,80,Based on 9 Critic Reviews
As Dusk Falls,19/7/2022,INTERIOR/NIGHT,Xbox Game Studios,Adventure,Rated M For Mature,7.7,304,"Xbox Series X, PC, Xbox One","77, 76, tbd","Based on 79 Critic Reviews, Based on 21 Critic Reviews, Based on 1 Critic Review"
The Orange Box,10/10/2007,Valve Software,EA Games,Compilation,Rated M For Mature,8.9,769,"PC, Xbox 360, PlayStation 3","96, 96, 89","Based on 34 Critic Reviews, Based on 54 Critic Reviews, Based on 21 Critic Reviews"
MLB Slugfest 20-03,23/6/2002,Midway,Midway,Baseball,Rated E For Everyone,6.894852313,,"PlayStation 2, Xbox, GameCube","77, 79, 80","Based on 25 Critic Reviews, Based on 9 Critic Reviews, Based on 10 Critic Reviews"
Start the Party! Save the World,6/3/2012,Supermassive Games,SCEA,Party,Rated E +10 For Everyone +10,5.4,5,PlayStation 3,50,Based on 15 Critic Reviews
Darksiders: Warmastered Edition,2/4/2019,Nordic Games Publishing,THQ Nordic,Open-World Action,Rated M For Mature,8.2,81,"Xbox One, PlayStation 4, Wii U, PC, Nintendo Switch","80, 81, 77, tbd, 77","Based on 17 Critic Reviews, Based on 12 Critic Reviews, Based on 5 Critic Reviews, Based on 3 Critic Reviews, Based on 24 Critic Reviews"
HYPER DEMON,19/9/2022,Sorath,Sorath,Action,Not Rated,6.7,22,PC,89,Based on 9 Critic Reviews
Bayonetta 2,24/10/2014,PlatinumGames,Nintendo,Linear Action Adventure,Rated M For Mature,8.9,1408,"Wii U, Nintendo Switch","91, 92","Based on 80 Critic Reviews, Based on 32 Critic Reviews"
Legends of Runeterra,29/4/2020,Riot Games,Riot Games,Card Battle,Rated T For Teen,6.7,202,"iOS (iPhone/iPad), PC","88, 87","Based on 4 Critic Reviews, Based on 15 Critic Reviews"
Last Year: The Nightmare,18/12/2018,Elastic Games,Elastic Games,Survival,Rated RP For Rate Pending,5.3,39,PC,73,Based on 10 Critic Reviews
The Walking Dead: Assault,27/11/2012,Gamagio Limited,The Walking Dead: Assault,Action,Not Rated,6.894852313,,iOS (iPhone/iPad),78,Based on 13 Critic Reviews
LEGO Star Wars: The Force Awakens,28/6/2016,TT Games,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,7.3,199,"PlayStation 4, Xbox One, Wii U, 3DS, PC, PlayStation Vita, iOS (iPhone/iPad)","78, 76, 74, tbd, 72, tbd, tbd","Based on 62 Critic Reviews, Based on 11 Critic Reviews, Based on 6 Critic Reviews, Based on 3 Critic Reviews, Based on 9 Critic Reviews, Based on 1 Critic Review, Based on 3 Critic Reviews"
Fantasy Hero: Unsigned Legacy,2/12/2014,Arc System Works,Arc System Works,Action RPG,Rated E +10 For Everyone +10,6.894852313,,"PlayStation Vita, Nintendo Switch","59, 34","Based on 9 Critic Reviews, Based on 7 Critic Reviews"
Hans Christian Andersen: The Ugly Prince Duckling,20/3/2007,Guppyworks,The Adventure Company,Adventure,Rated E For Everyone,6.894852313,,PC,63,Based on 8 Critic Reviews
Cast of the Seven Godsends,18/4/2018,Raven Travel Studios,Merge Games,2D Platformer,Rated T For Teen,6.894852313,,"PC, Nintendo Switch, Xbox One, PlayStation 4","55, 54, 61, tbd","Based on 6 Critic Reviews, Based on 7 Critic Reviews, Based on 5 Critic Reviews, Based on 1 Critic Review"
Dead Island: Riptide,23/4/2013,Techland,Deep Silver,FPS,Rated M For Mature,6.4,230,"Xbox 360, PlayStation 3, PC","57, 62, 61","Based on 43 Critic Reviews, Based on 25 Critic Reviews, Based on 35 Critic Reviews"
Street Fighter IV,17/2/2009,Capcom,Capcom,2D Fighting,Rated T For Teen,7.3,216,"PlayStation 3, Xbox 360, PC, iOS (iPhone/iPad)","94, 93, 91, 84","Based on 61 Critic Reviews, Based on 77 Critic Reviews, Based on 23 Critic Reviews, Based on 13 Critic Reviews"
NBA Jam (2003),23/9/2003,Acclaim Studios Austin,Acclaim,Basketball,Rated E For Everyone,5,5,"PlayStation 2, Xbox","67, 68","Based on 18 Critic Reviews, Based on 17 Critic Reviews"
The Hustle: Detroit Streets,25/10/2005,Blade Interactive,Activision Value,Billiards,Rated T For Teen,6.894852313,,"PlayStation 2, Xbox, PSP","46, 52, 51","Based on 5 Critic Reviews, Based on 4 Critic Reviews, Based on 11 Critic Reviews"
NHL 2K6,16/11/2005,2K Sports,2K Sports,Hockey Sim,Rated E +10 For Everyone +10,7.1,7,"PlayStation 2, Xbox 360, Xbox","81, 75, 83","Based on 28 Critic Reviews, Based on 37 Critic Reviews, Based on 32 Critic Reviews"
